/89-90  duckworth,kevin   por  C 82 2462  548 1146   0   0 231  312 184  509   91  36 171  34 271  1327
/89-90  dudley,chris      =   PF 64 1356  146  355   0   0  58  182 174  423   39  41  80  72 164   350
/89-90  dumars,joe        det SG 75 2578  508 1058  22  55 297  330  60  212  368  63 145   2 129  1335
/89-90  dunleavy,mike     mil PG  5   43    4   14   2   9   7    8   0    2   10   1   8   0   7    17
/89-90  dunn,t.r.         den SG 65  657   44   97   0   2  26   39  56  138   43  41  19   4  67   114
/89-90  eackles,ledell    was SG 78 1696  413  940  19  59 210  280  74  175  182  50 143   4 157  1055
/89-90  eaton,mark        uta  C 82 2281  158  300   0   0  79  118 171  601   39  33  75 201 238   395
/89-90  edwards,blue      uta SF 82 1889  286  564   9  30 146  203  69  251  145  76 152  36 280   727
/89-90  edwards,james     det  C 82 2283  462  928   0   3 265  354 112  345   63  23 133  37 295  1189
/89-90  edwards,jay       lac ??  4   26    3    7   0   2   1    3   1    2    4   1   1   0   4     7
/89-90  edwards,kevin     mia PG 78 2211  395  959   9  30 139  183  77  282  252 125 180  33 149   938
/89-90  ehlo,craig        cle SG 81 2894  436  940 104 248 126  185 147  439  371 126 161  23 226  1102
/89-90  elliott,sean      san SF 81 2032  311  647   1   9 187  216 127  297  154  45 112  14 172   810
/89-90  ellis,dale        sea SG 55 2033  502 1011  96 256 193  236  90  238  110  59 119   7 124  1293
/89-90  ellison,pervis    sac  C 34  866  111  251   0   2  49   78  64  196   65  16  62  57 132   271
/89-90  english,alex      den SF 80 2211  635 1293   2   5 161  183 119  286  225  51  93  23 130  1433
/89-90  ewing,patrick     nyk  C 82 3165  922 1673   1   4 502  648 235  893  182  78 278 327 325  2347
/89-90  farmer,jim        sea PF 38  400   89  203   8  27  57   80  17   43   25  17  27   1  44   243
/89-90  ferrell,duane     atl SF 14   29    5   14   0   1   2    6   3    7    2   1   2   0   3    12
/89-90  fleming,vern      ind PG 82 2876  467  919  12  34 230  294 118  322  610  92 206  10 213  1176
/89-90  floyd,sleepy      hou PG 82 2630  362  803  89 234 187  232  46  198  600  94 204  11 159  1000
/89-90  frank,tellis      mia PF 77 1762  278  607   0   0 179  234 151  385   85  51 134  27 282   735
/89-90  gaines,corey      phi PG  9   81    4   12   1   2   1    4   1    5   26   4  10   0  11    10
/89-90  gamble,kevin      bos SF 71  990  137  301   3  18  85  107  42  112  119  28  44   8  77   362
/89-90  garland,winston   =   PG 79 1762  230  573  12  36 102  122  51  214  303  78 162  10 152   574
/89-90  garrick,tom       lac SG 73 1721  208  421   4  21  88  114  34  162  289  90 117   7 151   508
/89-90  gattison,kenny    cha PF 63  941  148  269   1   1  75  110  75  197   39  35  67  31 150   372
/89-90  gervin,derrick    njn PF 21  339   93  197   0   3  65   89  29   65    8  20  12   7  47   251
/89-90  gilliam,armon     =   SF 66 2426  484  940   0   2 303  419 211  599   99  69 152  51 212  1271
/89-90  gminski,mike      phi  C 81 2659  458 1002   3  17 193  235 196  687  128  43  98 102 136  1112
